drugs_CUI,Name
C0024002,lorazepam
C0038761,Sulfones
C0037537,sodium oxybate
C0021658,insulin isophane
C0021734,interferon alfa-2a
C0012291,dihydroergotamine
C0008838,cisplatin
C0378482,rabeprazole
C0872285,therapeutic protein
C0006050,botulinum toxin type A
C0015043,ethosuximide
C1306772,tiotropium bromide
C0001641,Adrenergic alpha-Antagonists
C0674428,efavirenz
C4043101,aducanumab
C0872913,tenecteplase
C0039902,thioguanine
C0030863,pentamidine
C0015772,felodipine
C0388088,FTY-720
C0002932,Anesthetics
C0042971,von Willebrand factor
C0057678,diacetylrhein
C0015840,fenoterol
C4542165,erenumab
C0001962,ethanol
C0213404,rufinamide
C0016229,flecainide
C0023660,lidocaine
C2719767,onabotulinumtoxinA
C0813622,Error: 404
C0040160,thyrotropin
C1579373,Drugs used for the treatment of acute migraine
C0000981,acetazolamide
C0136123,perindopril
C0909381,valganciclovir
C0257343,tamsulosin
C0023607,luteinizing hormone
C0013162,Drug Combinations
C0009011,clonazepam
C0732165,Somatostatin analog
C0025605,methadone
C0010137,cortisone
C0085174,misoprostol
C0025023,mebendazole
C0012133,didanosine
C0003620,Appetite Depressants
C0028094,nimodipine
C0031923,pilocarpine
C0754647,frovatriptan
C0004609,baclofen
C0061366,Glucantime
C0009053,collagenase Clostridium histolyticum
C0009137,coal tar
C0060282,ferrous sulfate
C0168273,bivalirudin
C0748603,seizure medication
C2001867,ferric carboxymaltose
C3661283,romosozumab
C0010648,cysteamine
C0536495,moxifloxacin
C0003158,Anthelmintics
C0028351,norepinephrine
C0077071,triclabendazole
C0039736,thalidomide
C0086130,Deprenyl
C0762662,rofecoxib
C2931926,ruxolitinib
C0012066,dichloroacetate
C0247025,tirofiban
C4505936,ubrogepant
C0081876,pantoprazole
C0021027,Immunoglobulins
C1134558,Chinese Herbs
C0000378,droxidopa
C0162758,Serotonin Uptake Inhibitors
C0002575,aminophylline
C1562242,Anti-tumor necrosis factor alpha drug (product)
C0210630,filgrastim
C0008318,cholecalciferol
C0037766,Antispasmodics
C0302609,Xanthine Oxidase Inhibitors
C0144576,paclitaxel
C0037508,sodium fluoride
C1271481,Recombinant human granulocyte colony stimulating factor
C0962517,agalsidase alfa
C0939241,tacrolimus Topical Product
C0001648,Adrenergic Agonists
C0003445,Antitoxins
C0206255,Malaria Vaccines
C2983812,mirabegron
C0937917,bimatoprost
C3264621,ivacaftor
C0003138,Antacids
C0017887,nitroglycerin
C0025853,metoclopramide
C0003018,Angiotensins
C0017720,glucosamine sulfate
C0002272,alpha glucosidase
C0031937,pindolol
C0015133,etoposide
C0288672,abciximab
C0013832,Electrolytes
C1373111,Nucleoside Reverse Transcriptase Inhibitors
C0242889,Adrenergic Antagonists
C0042397,Vasoconstrictor Agents
C2746078,linagliptin
C0537270,insulin detemir
C0376607,Anti-Obesity Agents
C0242913,Nootropic Agents
C0074568,sinomenine
C0016360,fluorouracil
C2353893,golimumab
C1520059,Vitamin D Analog
C0525227,brimonidine
C0026457,Monoamine Oxidase Inhibitors
C0909839,emtricitabine
